날짜,종가,전일비,시가,고가,저가,거래량,MA5,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,평균거래량,거래량비율,거래량신호,골든크로스,데드크로스,MACD_골든크로스
2025-01-08,37400,"하락
				1,250",38300,39000,37200,2887696,,,,,0.0,0.0,0.0,,,False,False,False,False
2025-01-09,37200,"하락
				200",37450,37850,37200,2219066,,,,0.0,-15.954415954409342,-3.1908831908818684,-12.763532763527474,,,False,False,False,False
2025-01-10,36550,"하락
				650",37200,37400,36400,2240282,,,,0.0,-80.12434964001295,-18.577576480708085,-61.54677315930486,,,False,False,False,False
2025-01-13,36500,"하락
				50",36200,36900,36200,1170255,,,,0.0,-133.4754446969382,-41.557150123954116,-91.9182945729841,,,False,False,False,False
2025-01-14,36850,"상승
				350",36650,36950,36350,1087274,36900.0,,,31.333398584059253,-145.83342008687032,-62.41240411653736,-83.42101597033296,,,False,False,False,False
2025-01-15,37000,"상승
				150",36950,38150,36500,2186274,36820.0,,,40.00903336424849,-141.88786325463298,-78.30749594415649,-63.58036731047649,,,False,False,False,False
2025-01-16,36900,"하락
				100",37400,37850,36700,1271977,36760.0,,,36.68168403831479,-145.15686729484878,-91.67737021429495,-53.47949708055383,,,False,False,False,False
2025-01-17,36400,"하락
				500",36950,36950,36400,1135029,36730.0,,,25.33595682712584,-185.94988336857932,-110.53187284515184,-75.41801052342748,,,False,False,False,False
2025-01-20,36450,"상승
				50",36400,36700,35800,1356111,36720.0,,,27.74280584881396,-211.80253261872713,-130.7860047998669,-81.01652781886023,,,False,False,False,False
2025-01-21,36450,보합0,36450,37000,36150,1166887,36640.0,,,27.74280584881396,-229.64375316949008,-150.55755447379155,-79.08619869569853,,,False,False,False,False
2025-01-22,36300,"하락
				150",36800,37050,36150,1154547,36500.0,,,24.945035331178047,-252.97070655632706,-171.04018489029866,-81.9305216660284,,,False,False,False,False
2025-01-23,35750,"하락
				550",36450,36500,35750,1220022,36270.0,,,17.84062677700166,-312.2385964570567,-199.27986720365027,-112.95872925340643,,,False,False,False,False
2025-01-24,35750,보합0,35900,36350,35700,1076274,36140.0,,,17.84062677700166,-355.11527832848515,-230.44694942861724,-124.6683288998679,,,False,False,False,False
2025-01-31,38350,"상승
				2,600",36100,39000,36100,6846406,36520.0,,,67.92447108539014,-177.25381508441205,-219.80832255977623,42.554507475364176,,,False,False,False,True
2025-02-03,41800,"상승
				3,450",38350,42450,37750,14720792,37590.0,,,82.85744894918105,239.32999589125393,-127.9806588695702,367.31065476082415,,,False,False,False,False
2025-02-04,40900,"하락
				900",42600,43150,40200,12331280,38510.0,,,73.27382907148073,491.19104442328535,-4.146318210999101,495.33736263428443,,,False,False,False,False
2025-02-05,43200,"상승
				2,300",41300,43550,41000,10732661,40000.0,,,79.72714521247015,866.3962414848647,169.96219372817367,696.434047756691,,,False,False,False,False
2025-02-06,45300,"상승
				2,100",44000,45500,43500,9121099,41910.0,,,83.61687249440504,1318.0083332968206,399.5714216419031,918.4369116549176,,,False,False,False,False
2025-02-07,44500,"하락
				800",45200,45250,43550,5102434,43140.0,,,77.51523128926212,1592.9977689523803,638.2566911039986,954.7410778483817,,,False,False,False,False
2025-02-10,42500,"하락
				2,000",44500,46000,42300,6162748,43280.0,38602.5,,64.78706735457766,1630.7473522272194,836.7548233286428,793.9925288985766,4259455.7,1.4468393226862295,False,False,False,False
2025-02-11,42850,"상승
				350",43200,43450,42250,3387582,43670.0,38875.0,,65.84404989974081,1669.6594490695861,1003.3357484768316,666.3237005927546,4284450.0,0.7906690473689738,False,False,False,False
2025-02-12,42000,"하락
				850",42750,42750,41400,2941517,43430.0,39115.0,,61.05118402935959,1613.312408714526,1125.3310805243705,487.98132819015564,4320572.55,0.6808164811397508,False,False,False,False
2025-02-13,40200,"하락
				1,800",42350,43100,39700,8123275,42410.0,39297.5,,52.359353015405624,1407.190796941024,1181.7030238077014,225.48777313332266,4614722.2,1.7602955601531116,True,False,False,False
2025-02-14,38750,"하락
				1,450",40550,40600,38400,6091721,41260.0,39410.0,,46.60342682954768,1113.9936276376684,1168.1611445736949,-54.16751693602646,4860795.5,1.253235401489324,False,False,False,False
2025-02-17,39050,"상승
				300",39100,39350,38800,3131805,40570.0,39520.0,,47.880050425055316,895.517285560818,1113.6323727711194,-218.11508721030145,4963022.05,0.631027823057929,False,False,False,False
